(Unit: tick)
Process   Turnaround   Waiting   CPU Burst   I/O Burst
      0        16756        67           8           0
      1        13127         0           2       13125
      2           19         0          19           0
      3         3009         5           6        2998
      4        17062       196          86       16779
      5            3         1           2           0
      6            7         0           6           0
      7            3         1           2           0
      8          272         1          13         258
      9           56         1          55           0
     10          100         0          99           0
     11           26         0          25           0
     12           80         0          79           0
     13            4         1           3           0
     14         1201         0          10        1190
     15         1198        97           0        1100
     16         1962       888         100         974
     17         2652      1581         200         871
     18         3252      2181         300         770
     19         3731      2671         400         660
     20         4110      3060         500         550
     21         4390      3349         600         440
     22         4560      3539         700         321
     23         4630      3628         800         202
     24         4628      3626         900         101
     25           33        30           2           0
     26            6         0           5           0
     27            4         1           3           0
     28            3         1           2           0
     29            4         0           3           0
     30            3         1           2           0
     31            3         1           2           0
     32            4         0           3           0
     33            1         1           0           0
Average:     2555.85    733.18
Throughout: 0.20/s
