(Unit: tick)
Process   Turnaround   Waiting   CPU Burst   I/O Burst
      0        13816        67           8           0
      1        11898         0           2       11896
      2           19         0          19           0
      3         3009         5           6        2998
      4        14728       137          83       14507
      5            3         1           2           0
      6            7         0           6           0
      7            3         0           3           0
      8          273         0          14         258
      9           57         0          56           0
     10           99         1          98           0
     11           26         1          25           0
     12           80         1          79           0
     13            3         1           2           0
     14            6         1           5           0
     15            4         0           3           0
     16         1175         1          10        1164
     17         1172        97           0        1074
     18         1930       857         100         973
     19         2593      1525         200         867
     20         3222      2171         300         750
     21         3687      2641         400         646
     22         4061      3018         500         542
     23         4375      3338         601         435
     24         4533      3524         700         309
     25         4622      3619         800         202
     26         4618      3616         900         101
     27           75        72           2           0
     28           21        19           2           0
     29            4         0           3           0
     30            3         1           2           0
     31            4         0           3           0
     32            4         0           3           0
     33            1         0           0           0
Average:     2356.79    726.88
Throughout: 0.23/s
